observation_id,trial_id,germplasm_id,trait_id,rep,block,plot,raw_value
OBS0001,TR2025SW,G001,T001,1,1,101,4520
OBS0002,TR2025SW,G002,T001,1,1,102,4685
OBS0003,TR2025SW,G003,T001,1,1,103,4390
OBS0004,TR2025SW,G004,T001,1,1,104,4810
OBS0005,TR2025SW,G005,T001,1,1,105,4975
OBS0006,TR2025SW,G006,T001,1,1,106,4660
OBS0007,TR2025SW,G007,T001,1,1,107,4725
OBS0008,TR2025SW,G008,T001,1,1,108,4890
OBS0009,TR2025SW,G001,T002,1,1,101,86
OBS0010,TR2025SW,G002,T002,1,1,102,91
OBS0011,TR2025SW,G003,T002,1,1,103,84
OBS0012,TR2025SW,G004,T002,1,1,104,88
OBS0013,TR2025SW,G005,T002,1,1,105,93
OBS0014,TR2025SW,G006,T002,1,1,106,89
OBS0015,TR2025SW,G007,T002,1,1,107,87
OBS0016,TR2025SW,G008,T002,1,1,108,92
OBS0017,TR2025RG,G001,T001,1,1,201,4280
OBS0018,TR2025RG,G002,T001,1,1,202,4495
OBS0019,TR2025RG,G003,T001,1,1,203,4215
OBS0020,TR2025RG,G004,T001,1,1,204,4620
OBS0021,TR2025RG,G005,T001,1,1,205,4740
OBS0022,TR2025RG,G006,T001,1,1,206,4555
OBS0023,TR2025RG,G007,T001,1,1,207,4615
OBS0024,TR2025RG,G008,T001,1,1,208,4805
OBS0025,TR2025IH,G001,T004,1,1,301,13.4
OBS0026,TR2025IH,G002,T004,1,1,302,13.1
OBS0027,TR2025IH,G003,T004,1,1,303,13.8
OBS0028,TR2025IH,G004,T004,1,1,304,12.9
OBS0029,TR2025IH,G005,T004,1,1,305,13.0
OBS0030,TR2025IH,G006,T004,1,1,306,13.5
OBS0031,TR2025IH,G007,T004,1,1,307,13.2
OBS0032,TR2025IH,G008,T004,1,1,308,12.8
OBS0033,TR2025SK,G001,T006,1,1,401,4
OBS0034,TR2025SK,G002,T006,1,1,402,3
OBS0035,TR2025SK,G003,T006,1,1,403,5
OBS0036,TR2025SK,G004,T006,1,1,404,2
OBS0037,TR2025SK,G005,T006,1,1,405,2
OBS0038,TR2025SK,G006,T006,1,1,406,3
OBS0039,TR2025SK,G007,T006,1,1,407,4
OBS0040,TR2025SK,G008,T006,1,1,408,2
